Date and Time;Trend Age;Inoculation Age;I: Air Act.;I: O2 Act.;I: CO2 Act.;I: TempV;I: TempJ;I: DOamp;I: pH;I: Level 1;I: Stirr Act.;I: Torque;I: Balance1;I: Vol. Pump A1;I: Vol. Pump A2;I: Vol. Pump A3;I: Vol. Pump A4;I: Vol. CO2 Act.;I: Vol. O2 Act.;I: Vol. Air Act.;SP Temperature;SP Oxygen;SP pH;SP Foam;SP Level;O: Air Setp.;O: O2 Setp.;O: CO2 Setp.;O: N2;O: Heat;O: Cool;O: PumpTh;O: Stirr Setp.;O: Pump A1;O: Pump A2;O: Pump A3;O: Pump A4;O: Headspace 
Wed Apr 14 08:57:52 2021;15.5;0;99.9885;-0.126082;-0.660507;37;38.9;100.939;8.46103;0;190;0.129299;0;0;0;0;0;0;0;18519.6;37;40;7;0;0;100;0;0;0;5.85671;0;1;190;0;0;0;0;1
Wed Apr 14 09:27:52 2021;16;0;99.9793;-0.133073;-0.64322;37;38.9;100.95;8.46624;0;190;0.129864;0;0;0;0;0;0;0;19119.6;37;40;7;0;0;100;0;0;0;5.90769;0;1;190;0;0;0;0;1
Wed Apr 14 09:57:52 2021;16.5;0;100.012;-0.135357;-0.644504;37;38.8;101.142;8.47073;0;190;0.131444;0;0;0;0;0;0;0;19719.5;37;40;7;0;0;100;0;0;0;5.92726;0;1;190;0;0;0;0;1
Wed Apr 14 10:27:52 2021;17;0;10.0073;-0.112627;99.9964;37;38.7;99.4673;8.61924;0;190;0.128198;0;0;0;0;6.68467;208.034;0;19827.2;37;30;7;0;0;10;0;100;0;5.94075;0;1;190;0;0;0;0;1
Wed Apr 14 10:57:52 2021;17.5;0;9.98764;-0.092375;100.002;37;38.9;99.649;8.61873;0;190;0.129719;0;0;0;0;6.68467;808;0;19887.2;37;30;7;0;0;10;0;100;0;5.8822;0;1;190;0;0;0;0;1
Wed Apr 14 11:27:52 2021;18;0;9.99833;-0.0922546;99.9076;37;38.9;99.6583;8.6201;0;190;0.129389;0;0;0;0;6.68467;1407.97;0;19947.2;37;30;7;0;0;10;0;100;0;5.93579;0;1;190;0;0;0;0;1
Wed Apr 14 11:57:52 2021;18.5;0;9.93267;-0.0494077;100.015;37;38.8;99.7199;8.61957;0;190;0.128967;0;0;0;0;6.68467;2007.94;0;20007.2;37;30;7;0;0;10;0;100;0;5.93513;0;1;190;0;0;0;0;1
Wed Apr 14 12:27:52 2021;19;0;10.0298;-0.0856919;100.035;37;38.9;100.403;8.61969;0;190;0.131131;0;0;0;0;6.68467;2607.91;0;20067.2;37;30;7;0;0;10;0;100;0;5.86683;0;1;190;0;0;0;0;1
Wed Apr 14 12:57:52 2021;19.5;0;9.9851;-0.102371;99.9976;37;38.9;100.186;8.62062;0;190;0.130429;0;0;0;0;6.68467;3207.88;0;20127.2;37;30;7;0;0;10;0;100;0;5.87957;0;1;190;0;0;0;0;1
Wed Apr 14 13:27:52 2021;20;0;10.0135;-0.0545901;-0.581678;37.1;38.7;60.7314;6.99606;0;190;0.129186;0;0;0;0;6.68467;3784.79;0;20186.3;37;30;7;0;0;10;0;0;0;4.27294;0;1;190;0;0;0;0;0
Wed Apr 14 13:57:52 2021;20.5;0;10.0238;-0.00317887;-0.613641;37;38.8;81.9914;7.01999;0;190;0.129455;0;0;0;0;6.68467;3784.79;1.76399e-07;20246.3;37;30;7;0;0;10;0;0;0;5.7366;0;1;190;0;0;0;0;0
Wed Apr 14 14:27:52 2021;21;0;9.97978;-0.113262;-0.655258;37.4;40.3;81.0247;7.00573;0;190;0.129793;0;0;16.3787;0;6.68467;3790.7;2.13698e-07;20306.3;37;30;7;0;0;10;0;0;0;4.15452;0;1;190;0;0;0;0;0
Wed Apr 14 14:57:52 2021;21.5;0;10.001;-0.13807;-0.648206;37;39.3;82.1973;7.03146;0;190;0.12948;0;0;16.3787;11.6427;6.68467;3790.7;2.13698e-07;20366.3;37;30;7;0;0;10;0;0;0;5.95866;0;1;190;0;0;0;0;0
Wed Apr 14 15:27:52 2021;22;0;10.0106;-0.139976;-0.674188;36.9;38.9;83.2905;7.02467;0;190;0.14837;0;0;16.3787;11.6427;6.68467;3802.96;2.13698e-07;20426.3;37;30;7;0;0;10;0;0;0;5.23922;0;1;190;0;0;0;0;0
Wed Apr 14 15:57:52 2021;22.5;0;9.99553;-0.126328;-0.664254;37;38.9;79.3464;7.02649;0;190;0.14698;0;0;0;0;6.61067;43.5537;0;47.3107;37;30;7;0;0;10;0;0;0;5.26396;0;1;190;0;0;0;0;0
Wed Apr 14 16:27:52 2021;23;0;10.0212;-0.136203;-0.635564;37;38.8;80.2701;7.05027;0;190;0.147217;0;0;0;0;6.61067;52.5091;0;107.305;37;30;7;0;0;10;0;3.36424;0;4.7026;0;1;190;0;0;0;0;0
Wed Apr 14 16:57:52 2021;23.5;0;10.0339;-0.135312;-0.658905;37;38.7;79.7154;7.04054;0;190;0.146883;0;0;0;0;6.61067;71.2046;0;167.306;37;30;7;0;0;10;0;0;0;4.48351;0;1;190;0;0;0;0;0
Wed Apr 14 17:27:52 2021;24;0;10.0131;-0.146959;-0.640627;37;38.6;79.7505;7.03051;0;190;0.143969;0;0;0;0;6.61067;90.2204;0;227.311;37;30;7;0;0;10;0;0;0;4.41034;0;1;190;0;0;0;0;0
Wed Apr 14 17:57:52 2021;24.5;0;10.0251;-0.134248;-0.644214;37;38.8;80.6445;7.0493;0;190;0.145688;0;0;0;0;6.61067;99.8414;0;287.298;37;30;7;0;0;10;0;0;0;4.28246;0;1;190;0;0;0;0;0
Wed Apr 14 18:27:52 2021;25;0;9.99268;-0.150571;-0.65623;37;38.7;80.3889;7.0405;0;190;0.144876;0;0;0;0;6.61067;118.081;0;347.288;37;30;7;0;0;10;0;0;0;4.43246;0;1;190;0;0;0;0;0
Wed Apr 14 18:57:52 2021;25.5;0;10.0342;-0.12;-0.633505;37;38.8;79.8925;7.03047;0;190;0.145672;0;0;0;0;6.61067;136.865;0;407.284;37;30;7;0;0;10;0;0;0;4.31319;0;1;190;0;0;0;0;0
Wed Apr 14 19:27:52 2021;26;0;9.98116;-0.11079;4.46011;37;38.7;80.8825;7.05021;0;190;0.144245;0;0;0;0;6.61067;146.077;0;467.274;37;30;7;0;0;10;0;5.42241;0;4.46656;0;1;190;0;0;0;0;0
Wed Apr 14 19:57:52 2021;26.5;0;10.0163;-0.116085;-0.654326;37;38.7;80.2494;7.04038;0;190;0.145195;0;0;0;0;6.61067;164.114;0;527.273;37;30;7;0;0;10;0;0;0;4.49205;0;1;190;0;0;0;0;0
Wed Apr 14 20:27:52 2021;27;0;9.98106;-0.111807;-0.638902;37;38.8;79.9226;7.03036;0;190;0.147287;0;0;0;0;6.61067;182.862;0;587.285;37;30;7;0;0;10;0;0;0;4.39152;0;1;190;0;0;0;0;0
Wed Apr 14 20:57:52 2021;27.5;0;9.94654;-0.0902533;5.93107;37;38.7;80.7341;7.05042;0;190;0.147874;0;0;0;0;6.61067;192.02;0;647.278;37;30;7;0;0;10;0;6.99898;0;4.55089;0;1;190;0;0;0;0;0
Wed Apr 14 21:27:52 2021;28;0;9.98569;-0.0786769;-0.636801;37.1;38.7;80.7087;7.04219;0;190;0.14931;0;0;0;0;6.61067;210.149;0;707.275;37;30;7;0;0;10;0;0;0;3.22669;0;1;190;0;0;0;0;0
Wed Apr 14 21:57:52 2021;28.5;0;10.0055;-0.0504047;-0.602652;37;38.7;79.4638;7.03237;0;190;0.150333;0;0;0;0;6.61067;228.633;0;767.273;37;30;7;0;0;10;0;0;0;4.42167;0;1;190;0;0;0;0;0
Wed Apr 14 22:27:52 2021;29;0;10.0031;-0.0427513;-0.572734;37;38.7;80.0928;7.03481;0;190;0.148201;0;0;0;0;6.61067;246.526;0;827.271;37;30;7;0;0;10;0;0;0;4.37174;0;1;190;0;0;0;0;0
Wed Apr 14 22:57:52 2021;29.5;0;10.0312;-0.0333536;8.45609;37;38.7;79.8186;7.05127;0;190;0.149686;0;0;0;0;6.61067;255.967;0;887.275;37;30;7;0;0;10;0;9.68445;0;4.42646;0;1;190;0;0;0;0;0
Wed Apr 14 23:27:52 2021;30;0;9.97543;-0.0329187;-0.621302;37;38.7;79.7903;7.04389;0;190;0.149145;0;0;0;0;6.61067;273.888;0;947.284;37;30;7;0;0;10;0;0;0;4.49055;0;1;190;0;0;0;0;0
Wed Apr 14 23:57:52 2021;30.5;0;10.0405;-0.0165625;-0.631143;37;38.6;78.82;7.03522;0;190;0.148431;0;0;0;0;6.61067;292.322;0;1007.28;37;30;7;0;0;10;0;0;0;4.10347;0;1;190;0;0;0;0;0
Thu Apr 15 00:27:52 2021;31;0;10.0349;-0.014351;-0.589864;37;38.8;78.962;7.03506;0;190;0.148337;0;0;0;0;6.61067;310.961;0;1067.26;37;30;7;0;0;10;0;0;0;4.1198;0;1;190;0;0;0;0;0
Thu Apr 15 00:57:52 2021;31.5;0;10.027;-0.00100116;-0.587184;37;38.8;79.2774;7.04925;0;190;0.147977;0;0;0;0;6.61067;320.567;1.02418e-07;1127.26;37;30;7;0;0;10;0;0;0;4.13516;0;1;190;0;0;0;0;0
Thu Apr 15 01:27:52 2021;32;0;9.95269;-0.015832;-0.613542;37;38.7;78.4787;7.03961;0;190;0.148168;0;0;0;0;6.61067;339.458;1.74663e-07;1187.27;37;30;7;0;0;10;0;0;0;4.3039;0;1;190;0;0;0;0;0
Thu Apr 15 01:57:52 2021;32.5;0;9.98144;-0.020479;-0.611061;37;38.8;77.6948;7.02956;0;190;0.146188;0;0;0;0;6.61067;358.881;2.0812e-07;1247.26;37;30;7;0;0;10;0;0;0;4.17977;0;1;190;0;0;0;0;0
Thu Apr 15 02:27:52 2021;33;0;10.0117;-0.0115251;29.2262;37;38.8;79.1052;7.05509;0;190;0.145267;0;0;0;0;6.61067;373;2.50228e-07;1307.24;37;30;7;0;0;10;0;30.8024;0;4.20225;0;1;190;0;0;0;0;0
Thu Apr 15 02:57:52 2021;33.5;0;10.0065;-0.0264104;-0.602061;37;38.7;78.1169;7.0452;0;190;0.145788;0;0;0;0;6.61067;386.203;2.50228e-07;1367.23;37;30;7;0;0;10;0;0;0;4.42233;0;1;190;0;0;0;0;0
Thu Apr 15 03:27:52 2021;34;0;9.99995;-0.0261187;-0.611553;37;38.7;77.6452;7.03531;0;190;0.144402;0;0;0;0;6.61067;404.848;2.50228e-07;1427.22;37;30;7;0;0;10;0;0;0;4.5982;0;1;190;0;0;0;0;0
Thu Apr 15 03:57:52 2021;34.5;0;9.99571;-0.0191791;-0.600835;37;38.8;77.4872;7.03151;0;190;0.13989;0;0;0;0;6.61067;423.632;2.54102e-07;1487.22;37;30;7;0;0;10;0;0;0;4.47331;0;1;190;0;0;0;0;0
Thu Apr 15 04:27:52 2021;35;0;10.0069;-0.0246848;-0.617864;37;38.8;78.882;7.04947;0;190;0.1375;0;0;0;0;6.61067;433.427;2.54102e-07;1547.22;37;30;7;0;0;10;0;0;0;4.3383;0;1;190;0;0;0;0;0
Thu Apr 15 04:57:52 2021;35.5;0;10.002;-0.015314;-0.616262;37;38.7;77.1255;7.04228;0;190;0.139806;0;0;0;0;6.61067;451.656;2.71896e-07;1607.22;37;30;7;0;0;10;0;0;0;4.38066;0;1;190;0;0;0;0;0
Thu Apr 15 05:27:52 2021;36;0;9.92903;-0.00482897;-0.625394;37;38.7;75.453;7.03189;0;190;0.140752;0;0;0;0;6.61067;470.248;2.99544e-07;1667.21;37;30;7;0;0;10;0;0;0;4.44474;0;1;190;0;0;0;0;0
Thu Apr 15 05:57:52 2021;36.5;0;10.0277;-0.0194207;-0.556255;37;38.8;77.0951;7.04203;0;190;0.138552;0;0;0;0;6.61067;488.638;4.34828e-07;1727.2;37;30;7;0;0;10;0;0;0;4.59474;0;1;190;0;0;0;0;0
Thu Apr 15 06:27:52 2021;37;0;9.9936;-0.0291745;-0.607113;37;38.6;77.6531;7.04566;0;190;0.139155;0;0;0;0;6.61067;498.437;4.34828e-07;1787.19;37;30;7;0;0;10;0;0;0;4.60748;0;1;190;0;0;0;0;0
Thu Apr 15 06:57:52 2021;37.5;0;10.0134;-0.00988875;-0.590812;37;38.8;76.716;7.0404;0;190;0.139847;0;0;0;0;6.61067;516.139;4.34828e-07;1847.19;37;30;7;0;0;10;0;0;0;4.49909;0;1;190;0;0;0;0;0
Thu Apr 15 07:27:52 2021;38;0;9.99429;-0.0154489;-0.605918;37;38.8;75.5653;7.03297;0;190;0.139793;0;0;0;0;6.61067;534.319;5.79668e-07;1907.18;37;30;7;0;0;10;0;0;0;4.5227;0;1;190;0;0;0;0;0
Thu Apr 15 07:57:52 2021;38.5;0;9.97038;-0.0142574;-0.553641;37;38.7;75.4621;7.03655;0;190;0.138938;0;0;0;0;6.61067;553.219;8.02924e-07;1967.17;37;30;7;0;0;10;0;0;0;4.67307;0;1;190;0;0;0;0;0
Thu Apr 15 08:27:52 2021;39;0;9.99346;-0.0107941;-0.604407;37;38.9;75.0136;7.04695;0;190;0.13962;0;0;0;0;6.61067;562.645;1.03935e-06;2027.17;37;30;7;0;0;10;0;0;0;4.54968;0;1;190;0;0;0;0;0
Thu Apr 15 08:57:52 2021;39.5;0;10.0019;-0.00572175;-0.608425;37;38.8;75.2738;7.04036;0;190;0.138247;0;0;0;0;6.61067;581.099;1.31424e-06;2087.17;37;30;7;0;0;10;0;0;0;4.57367;0;1;190;0;0;0;0;0
Thu Apr 15 09:27:52 2021;40;0;10.0018;-0.00103654;-0.609124;37;38.8;74.0162;7.03161;0;190;0.140836;0;0;0;0;6.61067;599.824;1.75093e-06;2147.16;37;30;7;0;0;10;0;0;0;4.5733;0;1;190;0;0;0;0;0
Thu Apr 15 09:57:52 2021;40.5;0;9.99894;-0.00239315;-0.59797;37;38.8;72.4746;7.00009;0;190;0.138392;0;0;0;0;13.6407;609.208;1.89025e-06;2207.14;37;30;7;0;0;10;0;0;0;4.5733;0;1;190;0;0;0;0;0
Thu Apr 15 10:27:52 2021;41;0;9.984;-0.0175453;25.644;37;38.8;76.5021;7.05508;0;190;0.140563;0;0;0;0;13.6407;613.346;2.16102e-06;2267.13;37;30;7;0;0;10;0;27.5825;0;4.5793;0;1;190;0;0;0;0;0
Thu Apr 15 10:57:52 2021;41.5;0;9.99774;-0.050716;-0.644572;37;38.8;76.0241;7.0361;0;190;0.138003;0;0;0;0;13.6407;626.811;2.1746e-06;2327.14;37;30;7;0;0;10;0;0;0;4.72929;0;1;190;0;0;0;0;0
Thu Apr 15 11:27:52 2021;42;0;10.0249;-0.0420816;-0.574836;37;38.7;76.8709;7.04312;0;190;0.137998;0;0;0;0;13.6407;643.899;2.1746e-06;2387.13;37;30;7;0;0;10;0;0;0;4.09739;0;1;190;0;0;0;0;0
Thu Apr 15 11:57:52 2021;42.5;0;9.99469;-0.0638765;-0.650213;37;38.7;75.9848;7.04039;0;190;0.138266;0;0;0;0;13.6407;652.933;2.1746e-06;2447.12;37;30;7;0;0;10;0;0;0;4.20233;0;1;190;0;0;0;0;0
Thu Apr 15 12:27:52 2021;43;0;10.0071;-0.0781548;-0.642336;37;38.7;75.4196;7.02799;0;190;0.137904;0;0;0;0;13.6407;670.416;2.1746e-06;2507.1;37;30;7;0;0;10;0;0;0;4.23269;0;1;190;0;0;0;0;0
Thu Apr 15 12:57:52 2021;43.5;0;10.0055;-0.0710563;-0.628401;37;38.8;75.3638;7.04627;0;190;0.138005;0;0;0;0;13.6407;678.919;2.1746e-06;2567.08;37;30;7;0;0;10;0;0;0;4.1093;0;1;190;0;0;0;0;0
Thu Apr 15 13:27:52 2021;44;0;9.99094;-0.103323;-0.642576;37;38.7;74.4199;7.03227;0;190;0.137244;0;0;0;0;13.6407;696.381;2.1746e-06;2627.08;37;30;7;0;0;10;0;0;0;4.43441;0;1;190;0;0;0;0;0
Thu Apr 15 13:57:52 2021;44.5;0;10.0253;-0.110508;-0.648218;37;38.9;72.5027;7.05027;0;190;0.139494;0;0;0;0;13.6407;705.182;2.1746e-06;2687.08;37;30;7;0;0;10;0;3.01592;0;3.98591;0;1;190;0;0;0;0;0
Thu Apr 15 14:27:52 2021;45;0;9.92311;-0.0835106;-0.626004;37;38.7;72.7275;7.04008;0;190;0.14065;0;0;0;0;13.6407;721.743;2.1746e-06;2747.08;37;30;7;0;0;10;0;0;0;4.28666;0;1;190;0;0;0;0;0
Thu Apr 15 14:57:52 2021;45.5;0;9.99642;-0.0884944;-0.641964;37;38.8;73.6317;7.029;0;190;0.140022;0;0;0;0;13.6407;738.866;2.1746e-06;2807.06;37;30;7;0;0;10;0;0;0;4.17114;0;1;190;0;0;0;0;0
Thu Apr 15 15:27:52 2021;46;0;10.001;-0.0844237;-0.634486;37;38.7;74.2954;7.04711;0;190;0.141198;0;0;0;0;13.6407;747.809;2.1746e-06;2867.05;37;30;7;0;0;10;0;0;0;4.35037;0;1;190;0;0;0;0;0
Thu Apr 15 15:57:52 2021;46.5;0;9.99537;-0.0947765;-0.637962;37;38.8;72.8994;7.03316;0;190;0.137993;0;0;0;0;13.6407;765.061;2.1746e-06;2927.04;37;30;7;0;0;10;0;0;0;4.22361;0;1;190;0;0;0;0;0
Thu Apr 15 16:27:52 2021;47;0;9.96318;-0.0938829;-0.634049;37;38.8;72.3158;7.04965;0;190;0.137563;0;0;0;0;13.6407;774.289;2.1746e-06;2987.03;37;30;7;0;0;10;0;0;0;4.23036;0;1;190;0;0;0;0;0
Thu Apr 15 16:57:52 2021;47.5;0;9.96812;-0.0797215;-0.626354;37;38.7;72.1457;7.0361;0;190;0.139292;0;0;0;0;13.6407;791.883;2.1746e-06;3047.03;37;30;7;0;0;10;0;0;0;4.22999;0;1;190;0;0;0;0;0
Thu Apr 15 17:27:52 2021;48;0;9.96532;-0.118349;-0.610868;37;38.7;72.4113;7.0429;0;190;0.138967;0;0;0;0;13.6407;809.42;2.1746e-06;3107.02;37;30;7;0;0;10;0;0;0;4.37961;0;1;190;0;0;0;0;0
Thu Apr 15 17:57:52 2021;48.5;0;9.98419;-0.106516;-0.646981;37;38.8;72.7879;7.04277;0;190;0.137093;0;0;0;0;13.6407;818.073;2.1746e-06;3166.99;37;30;7;0;0;10;0;0;0;4.26147;0;1;190;0;0;0;0;0
Thu Apr 15 18:27:52 2021;49;0;9.9977;-0.0750089;-0.630931;37;38.7;71.4447;7.02851;0;190;0.138241;0;0;0;0;13.6407;835.712;2.1746e-06;3226.98;37;30;7;0;0;10;0;0;0;4.42571;0;1;190;0;0;0;0;0
Thu Apr 15 18:57:52 2021;49.5;0;9.99523;-0.0750907;-0.642322;37;38.8;72.2774;7.04849;0;190;0.135252;0;0;0;0;13.6407;844.085;2.1746e-06;3286.97;37;30;7;0;0;10;0;0;0;4.2952;0;1;190;0;0;0;0;0
Thu Apr 15 19:27:52 2021;50;0;10.0141;-0.0645107;-0.639361;37;38.8;70.7056;7.03328;0;190;0.137375;0;0;0;0;13.6407;861.579;2.1746e-06;3346.97;37;30;7;0;0;10;0;0;0;4.32181;0;1;190;0;0;0;0;0
Thu Apr 15 19:57:52 2021;50.5;0;10.0416;-0.0402999;-0.640583;37;38.8;70.9542;7.04977;0;190;0.135887;0;0;0;0;13.6407;870.813;2.1746e-06;3406.97;37;30;7;0;0;10;0;0;0;4.33643;0;1;190;0;0;0;0;0
