Date,Day,Cell type,Temp (°C),CO₂ (%),Shaking speed (rpm),VCD (x10⁶cells/mL),Cell viability (%),Working Volume (mL),Passage,FBS conc.
2021-04-21,29,HEK293,37,5,130,0.8,65,30,10,0
2021-04-23,31,HEK293,37,5,130,0.44,82,30,10,0
2021-04-26,34,HEK293,37,5,130,2.58,100,30,10,0
2021-04-07,15,HEK293,37,5,90,0.5,95,30,5,1.25
2021-04-09,17,HEK293,37,5,90,2.11,99,30,5,1.25
2021-04-09,17,HEK293,37,5,90,0.5,99,30,6,1.25
2021-04-12,20,HEK293,37,5,90,1.07,95,30,6,0
2021-04-12,20,HEK293,37,5,90,0.5,95,30,7,0
2021-04-15,23,HEK293,37,5,130,0.628,90,30,7,0
2021-04-15,23,HEK293,37,5,130,0.5,90,30,8,0
2021-04-19,27,HEK293,37,5,130,0.845,91,30,8,0
2021-04-19,27,HEK293,37,5,130,0.5,95,60,9,0
2021-04-21,29,HEK293,37,5,130,0.264,85,60,9,0
2021-04-21,29,HEK293,37,5,130,0.5,85,30,10,0
2021-04-23,31,HEK293,37,5,130,0.33,86,30,10,0
2021-04-26,34,HEK293,37,5,130,1.81,98,30,10,0
2021-03-23,0,HEK293,37,5,130,0.35,98,30,0,5
2021-03-25,2,HEK293,37,5,130,1.47,98,30,0,5
2021-03-26,3,HEK293,37,5,130,0.36,76,30,0,5
2021-03-26,3,HEK293,37,5,130,0.36,76,30,1,5
2021-03-29,6,HEK293,37,5,130,0.53,68,30,1,5
2021-03-29,6,HEK293,37,5,130,0.53,68,50,2,5
2021-03-30,7,HEK293,37,5,130,1.48,95,50,2,5
2021-03-31,8,HEK293,37,5,130,1.46,96,50,2,5
2021-04-01,9,HEK293,37,5,130,2.35,86,50,2,5
2021-04-01,9,HEK293,37,5,130,0.4,86,30,3,5
2021-04-02,10,HEK293,37,5,90,0.77,98,30,3,5
2021-04-05,13,HEK293,37,5,90,0.85,90,30,3,5
2021-04-05,13,HEK293,37,5,90,0.85,90,30,4,5
2021-04-07,15,HEK293,37,5,90,4.43,95,30,4,5
2021-04-07,15,HEK293,37,5,90,0.5,95,30,5,5
2021-04-09,17,HEK293,37,5,90,2.08,99,30,5,5
2021-04-09,17,HEK293,37,5,90,0.5,99,30,6,3
2021-04-12,20,HEK293,37,5,90,2.63,98,30,6,3
2021-04-12,20,HEK293,37,5,90,0.5,98,30,7,1.5
2021-04-15,23,HEK293,37,5,130,5.04,99,30,7,1.5
2021-04-15,23,HEK293,37,5,130,0.5,99,30,8,1.5
2021-04-19,27,HEK293,37,5,130,1.77,99,30,8,1.5
2021-04-19,27,HEK293,37,5,130,0.6,99,30,9,1.5
2021-04-21,29,HEK293,37,5,130,1.99,98,30,9,1.5
2021-04-21,29,HEK293,37,5,130,1.99,98,30,10,0.75
2021-04-23,31,HEK293,37,5,130,4.26,98,30,10,0.75
2021-04-23,31,HEK293,37,5,130,1.4,98,30,11,0.75
2021-04-26,34,HEK293,37,5,130,2.21,98,30,11,0.75
