Drug Name,Generic Name,Brand Name,Company Name,Therapy Area,Indication,Development Stage,Drug Geography
aflibercept,aflibercept,Eylea,Regeneron Pharmaceuticals Inc,Metabolic Disorders, Non-Proliferative Diabetic Retinopathy (NPDR),Pre-Registration,United States
aflibercept,aflibercept,,Regeneron Pharmaceuticals Inc,Ophthalmology, Retinopathy Of Prematurity,Pre-Registration,EU; Japan
aflibercept,aflibercept,Eylea,Regeneron Pharmaceuticals Inc,Metabolic Disorders, Diabetic Macular Edema,Phase III,Global
aflibercept,aflibercept,Eylea,Regeneron Pharmaceuticals Inc,Metabolic Disorders, Diabetic Retinopathy,Phase III,Japan
aflibercept,aflibercept,,Regeneron Pharmaceuticals Inc,Ophthalmology, Retinopathy Of Prematurity,Phase III,Japan
aflibercept,aflibercept,Eylea,Regeneron Pharmaceuticals Inc,Ophthalmology, Retinopathy Of Prematurity,Phase III,Global; South Korea; United States
aflibercept,aflibercept,,Regeneron Pharmaceuticals Inc,Ophthalmology, Age Related Macular Degeneration,Phase III,Global
aflibercept,aflibercept,,Regeneron Pharmaceuticals Inc,Ophthalmology, Wet (Neovascular / Exudative) Macular Degeneration,Phase II,United States
aflibercept,aflibercept,Eylea,Regeneron Pharmaceuticals Inc,Ophthalmology, Optic Neuropathy; Retinopathy,Phase II,Global
aflibercept,aflibercept,,Regeneron Pharmaceuticals Inc,Ophthalmology, Graves' Ophthalmopathy,Phase I,Global
aflibercept,aflibercept,Eylea,Regeneron Pharmaceuticals Inc,Ophthalmology, Corneal Neovascularization,Inactive,Global
ranibizumab,ranibizumab,Lucentis,Novartis Healthcare Pvt Ltd,Metabolic Disorders, Diabetic Macular Edema,Marketed,India
ranibizumab,ranibizumab,Lucentis,Novartis Australia Pty Ltd,Metabolic Disorders, Diabetic Macular Edema,Marketed,Australia
ranibizumab,ranibizumab,Lucentis,Novartis Biociencias SA,Metabolic Disorders, Diabetic Macular Edema; Proliferative Diabetic Retinopathy (PDR),Marketed,Brazil
ranibizumab,ranibizumab,Lucentis,Novartis Farmaceutica SA de CV,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Mexico
ranibizumab,ranibizumab,Lucentis,Novartis Farmaceutica SA,Metabolic Disorders, Diabetic Macular Edema,Marketed,Spain
ranibizumab,ranibizumab,Lucentis,Shanghai Novartis Trading Ltd,Metabolic Disorders, Diabetic Macular Edema; Diabetic Retinopathy,Marketed,China
ranibizumab,ranibizumab,Lucentis,Novartis South Africa Pty Ltd,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,South Africa
ranibizumab,ranibizumab,Lucentis,Novartis UK Ltd,Ophthalmology, Retinopathy Of Prematurity,Marketed,EU
ranibizumab,ranibizumab,Lucentis,Novartis Pharma BV,Metabolic Disorders, Diabetic Macular Edema,Marketed,Belgium
ranibizumab,ranibizumab,Lucentis,Genentech USA Inc,Metabolic Disorders, Diabetic Macular Edema; Diabetic Retinopathy; Non-Proliferative Diabetic Retinopathy (NPDR); Proliferative Diabetic Retinopathy (PDR),Marketed,United States
ranibizumab,ranibizumab,Lucentis,Novartis Pharmaceuticals UK Ltd,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,United Kingdom
ranibizumab,ranibizumab,Lucentis,Novartis South Africa Pty Ltd,Metabolic Disorders, Diabetic Macular Edema,Marketed,South Africa
ranibizumab,ranibizumab,Lucentis,Novartis Healthcare Pvt Ltd,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,India
ranibizumab,ranibizumab,Lucentis,Novartis Healthcare A/S,Metabolic Disorders, Diabetic Macular Edema,Marketed,Denmark
ranibizumab,ranibizumab,Lucentis,Novartis Pharma AG,Metabolic Disorders, Diabetic Macular Edema,Marketed,Russia
ranibizumab,ranibizumab,Lucentis,Novartis UK Ltd,Metabolic Disorders, Proliferative Diabetic Retinopathy (PDR),Marketed,EU
ranibizumab,ranibizumab,Lucentis,Novartis Israel Ltd,Metabolic Disorders, Diabetic Macular Edema,Marketed,Israel
ranibizumab,ranibizumab,Lucentis,Genentech USA Inc,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,United States
ranibizumab,ranibizumab,Lucentis,Novartis Pharma KK,Ophthalmology, Choroidal Neovascularization; Macular Edema; Retinopathy Of Prematurity; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Japan
ranibizumab,ranibizumab,Lucentis,Novartis Healthcare A/S,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Denmark
ranibizumab,ranibizumab,Lucentis,Novartis Biociencias SA,Ophthalmology, Choroidal Neovascularization; Macular Edema; Retinopathy Of Prematurity; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Brazil
ranibizumab,ranibizumab,Lucentis,Novartis Farmaceutica SA de CV,Metabolic Disorders, Diabetic Macular Edema,Marketed,Mexico
ranibizumab,ranibizumab,Lucentis,Novartis New Zealand Ltd,Metabolic Disorders, Diabetic Macular Edema,Marketed,New Zealand
ranibizumab,ranibizumab,Lucentis,Novartis New Zealand Ltd,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,New Zealand
ranibizumab,ranibizumab,Lucentis,Novartis Pharma Schweiz AG,Metabolic Disorders, Diabetic Macular Edema,Marketed,Switzerland
ranibizumab,ranibizumab,Lucentis,Novartis Sante Familiale SAS,Metabolic Disorders, Diabetic Macular Edema,Marketed,France
ranibizumab,ranibizumab,Lucentis,Novartis Pharmaceuticals UK Ltd,Metabolic Disorders, Diabetic Macular Edema,Marketed,United Kingdom
ranibizumab,ranibizumab,Lucentis,Novartis Pharmaceuticals Canada Inc,Metabolic Disorders, Diabetic Macular Edema,Marketed,Canada
ranibizumab,ranibizumab,Lucentis,Novartis Pharma AG,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Russia
ranibizumab,ranibizumab,Lucentis,Novartis UK Ltd,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Austria; EU; Germany; Italy
ranibizumab,ranibizumab,Lucentis,Novartis Pharma BV,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Belgium
ranibizumab,ranibizumab,Lucentis,Novartis Sante Familiale SAS,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,France
ranibizumab,ranibizumab,Patizra,PT Novartis Indonesia,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Indonesia
ranibizumab,ranibizumab,Lucentis,Novartis Pharma KK,Metabolic Disorders, Diabetic Macular Edema,Marketed,Japan
ranibizumab,ranibizumab,Lucentis,Novartis Farmaceutica SA,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Spain
ranibizumab,ranibizumab,Lucentis,Novartis Korea Co Ltd,Metabolic Disorders, Diabetic Macular Edema,Marketed,South Korea
ranibizumab,ranibizumab,Lucentis,Novartis Pharmaceuticals Canada Inc,Ophthalmology, Choroidal Neovascularization; Macular Edema; Retinopathy Of Prematurity; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Canada
ranibizumab,ranibizumab,Lucentis,Novartis Israel Ltd,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Israel
ranibizumab,ranibizumab,Lucentis,Novartis Korea Co Ltd,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,South Korea
ranibizumab,ranibizumab,Lucentis,Shanghai Novartis Trading Ltd,Ophthalmology, Choroidal Neovascularization; Macular Edema; Retinopathy Of Prematurity; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,China
ranibizumab,ranibizumab,Lucentis,Novartis UK Ltd,Metabolic Disorders, Diabetic Macular Edema,Marketed,Austria; EU; Germany; Italy
ranibizumab,ranibizumab,Lucentis,Novartis Australia Pty Ltd,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Australia
ranibizumab,ranibizumab,Lucentis,Novartis Pharma Schweiz AG,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Switzerland
ranibizumab,ranibizumab,,F. Hoffmann-La Roche Ltd,Ophthalmology, Retinopathy Of Prematurity,Phase III,Australia; Global
ranibizumab,ranibizumab,Lucentis,F. Hoffmann-La Roche Ltd,Ophthalmology, Corneal Neovascularization; Cystoid Macular Edema; Polypoidal Choroidal Vasculopathy; Pterygium; Uveitis,Inactive,Global
ranibizumab,ranibizumab,Lucentis,F. Hoffmann-La Roche Ltd,Ear Nose Throat Disorders, Epistaxis,Inactive,Global
bevacizumab,bevacizumab,Avastin,Produtos Roche Quimicos e Farmaceuticos S/A,Oncology, Cervical Cancer; Epithelial Ovarian Cancer; Fallopian Tube Cancer; Metastatic Breast Cancer; Metastatic Colorectal Cancer; Metastatic Renal Cell Carcinoma; Non-Small Cell Lung Cancer; Peritoneal Cancer,Marketed,Brazil
bevacizumab,bevacizumab,Avastin,Roche Registration Ltd,Oncology, Metastatic Ovarian Cancer; Renal Cell Carcinoma,Marketed,France
bevacizumab,bevacizumab,Avastin,Chugai Pharmaceutical Co Ltd,Oncology, Cervical Cancer; Malignant Glioma; Metastatic Breast Cancer; Metastatic Colorectal Cancer; Metastatic Hepatocellular Carcinoma (HCC); Metastatic Ovarian Cancer; Non-Small Cell Lung Cancer,Marketed,Japan
bevacizumab,bevacizumab,Avastin,Roche Products Pty Ltd,Oncology, Cervical Cancer; Epithelial Ovarian Cancer; Fallopian Tube Cancer; Glioblastoma Multiforme (GBM); Malignant Glioma; Metastatic Breast Cancer; Metastatic Colorectal Cancer; Metastatic Renal Cell Carcinoma; Non-Small Cell Lung Cancer; Peritoneal Cancer,Marketed,Australia
bevacizumab,bevacizumab,Avastin,PT Menarini Indria Laboratories,Oncology, Cervical Cancer; Epithelial Ovarian Cancer; Fallopian Tube Cancer; Human Epidermal Growth Factor Receptor 2 Negative Breast Cancer (HER2- Breast Cancer); Metastatic Colorectal Cancer; Non-Small Cell Lung Cancer; Peritoneal Cancer,Marketed,Indonesia
bevacizumab,bevacizumab,Avastin,Hoffmann-La Roche Ltd,Oncology, Epithelial Ovarian Cancer; Fallopian Tube Cancer; Glioblastoma Multiforme (GBM); Metastatic Colorectal Cancer; Non-Small Cell Lung Cancer; Peritoneal Cancer,Marketed,Canada
bevacizumab,bevacizumab,Avastin,Roche Pharmaceuticals (Israel) Ltd,Oncology, Breast Cancer; Cervical Cancer; Glioblastoma Multiforme (GBM); Lung Cancer; Metastatic Colorectal Cancer; Metastatic Renal Cell Carcinoma; Ovarian Cancer,Marketed,Israel
bevacizumab,bevacizumab,Avastin,F. Hoffmann-La Roche Ltd,Oncology, Cervical Cancer; Epithelial Ovarian Cancer; Fallopian Tube Cancer; Hepatocellular Carcinoma; Peritoneal Cancer,Marketed,EU
bevacizumab,bevacizumab,Avastin,Roche Products (NZ) Ltd,Oncology, Cervical Cancer; Epithelial Ovarian Cancer; Fallopian Tube Cancer; Metastatic Breast Cancer; Metastatic Colorectal Cancer; Metastatic Renal Cell Carcinoma; Non-Small Cell Lung Cancer; Peritoneal Cancer; Recurrent Malignant Glioma ,Marketed,New Zealand
bevacizumab,bevacizumab,Avastin,Genentech USA Inc,Oncology, Cervical Cancer; Epithelial Ovarian Cancer; Fallopian Tube Cancer; Glioblastoma Multiforme (GBM); Human Epidermal Growth Factor Receptor 2 Negative Breast Cancer (HER2- Breast Cancer); Metastatic Colorectal Cancer; Metastatic Hepatocellular Carcinoma (HCC); Metastatic Renal Cell Carcinoma; Non-Small Cell Lung Cancer; Peritoneal Cancer,Marketed,United States
bevacizumab,bevacizumab,Avastin,Roche Registration Ltd,Oncology, Metastatic Renal Cell Carcinoma; Ovarian Cancer,Marketed,Italy; Spain; United Kingdom
bevacizumab,bevacizumab,Avastin,Cipla Ltd,Oncology, Lung Cancer,Marketed,India
bevacizumab,bevacizumab,Avastin,Roche Korea Co Ltd,Oncology, Fallopian Tube Cancer; Metastatic Breast Cancer; Metastatic Renal Cell Carcinoma; Non-Small Cell Lung Cancer; Ovarian Cancer; Peritoneal Cancer,Marketed,South Korea
bevacizumab,bevacizumab,Avastin,Roche Austria GmbH,Oncology, Cervical Cancer; Epithelial Ovarian Cancer; Fallopian Tube Cancer; Metastatic Breast Cancer; Metastatic Colorectal Cancer; Metastatic Renal Cell Carcinoma; Non-Small Cell Lung Cancer; Peritoneal Cancer,Marketed,Austria
